Animal Name,Animal Type,Description,KINGDOM,PHYLUM,SUBPHYLUM,CLASS,ORDER,FAMILY,GENUS,SUBFAMILY,SUBORDER,SUPERFAMILY,SUBCLASS,INFRACLASS,SUPERORDER,CONTINENTS,SUBCONTINENTS,COUNTRIES,BIOGEOGRAPHICAL REALMS,WWF BIOMES,INTRODUCED COUNTRIES,OCEANS,REGIONS,Distribution Info,Population threats,Population number,Ecological niche,Conservation,POPULATION TREND,POPULATION STATUS
Philautus surdus,,"Philautus surdus is a species of frog in the family Rhacophoridae. It is endemic to the Philippines and found on Bohol, Mindanao, Luzon, and Polillo islands.Its natural habitats are lower montane and lowland forests, and it can also occur in some disturbed areas adjacent to forests. It is an arboreal species and one of the most common Philippine frogs inhabiting forests.",Animalia,Chordata,,Amphibia,Anura,Rhacophoridae,Philautus,,,,,,,,,,,,,,,,,,,,Unknown,Data deficient (DD)
Pelophryne lighti,,Pelophryne lighti is a species of toad in the family Bufonidae.,Animalia,Chordata,,Amphibia,Anura,Bufonidae,Pelophryne,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Mottled tree frog,,"The mottled tree frog (Philautus poecilius ) is a species of frog in the family Rhacophoridae.It is endemic to the Philippines.
Its natural habitats are subtropical or tropical moist lowland forests and subtropical or tropical moist montane forests.It is threatened by habitat loss.
SHOW LESS",Animalia,Chordata,,Amphibia,Anura,Rhacophoridae,Philautus,,,,,,,,,,,,,,,,,,,,Decreasing,Near Threatened (NT)
Leptobrachium tagbanorum,,"Leptobrachium tagbanorum is a species of frog in the family Megophryidae from Palawan, Philippines.",Animalia,Chordata,,Amphibia,Anura,Megophryidae,Leptobrachium,,,,,,,,,,,,,,,,,,,,Stable,Near Threatened (NT)
Platymantis isarog,Isarog forest frog,"Platymantis isarog, sometimes known as the Isarog forest frog, is a species of frog in the family Ceratobatrachidae. It is endemic to southeastern Luzon, Philippines, where it is known from two volcanos, Mount Isarog (its type locality) and Mount Malinao.",Animalia,Chordata,,Amphibia,Squamata,Ceratobatrachidae,Platymantis,,,,,,,,,,,,,,,,,,,,Stable,Near Threatened (NT)
Yellow-headed water monitor,"Cuming's water monitor, Mindanao water monitor, Philippine water monitor","The yellow-headed water monitor (Varanus cumingi), also commonly known as Cuming's water monitor, the Mindanao water monitor, and the Philippine water monitor, is a large species of monitor lizard in the family Varanidae. The species is endemic to the Philippines. It thrives in mangrove, forest and water margins in tropical refuges, where it feeds on birds, fishes, mammals, and carrion.
Animal name origin
The specific name, cumingi, is in honor of English conchologist and botanist Hugh Cuming.",Animalia,Chordata,,Reptilia,Squamata,Varanidae,Varanus,,,,,,,,,,,,,,,,,,,,Decreasing,Least concern (LC)
Hydrophis semperi,"Lake taal snake, Garman's sea snake, Philippine freshwater sea snake, Luzon sea snake","Hydrophis semperi, commonly known as the Lake Taal snake, Garman's sea snake, the Philippine freshwater sea snake, and the Luzon sea snake, is a rare species of venomous sea snake found only in a single lake on the island of Luzon in the Philippines. It is noted for being one of two known species of sea snakes that are known to be found almost-exclusively in freshwater. The other freshwater sea snake species is Laticauda crockeri.
Animal name origin
The specific name, semperi, is in honor of German zoologist Carl Gottfried Semper.",Animalia,Chordata,,Reptilia,Squamata,Elapidae,Hydrophis,,,,,,,,,,,,,,,,,,,,Stable,Data deficient (DD)
Panay monitor,,"The Panay monitor (Varanus mabitang ) is an endangered monitor lizard native to Panay Island in the Philippines. Unlike most monitors, it is a specialized frugivore.",Animalia,Chordata,,Reptilia,Squamata,Varanidae,Varanus,,,,,,,,,,,,,,,,,,,,Unknown,Vulnerable (VU)
Trimeresurus mcgregori,"Mcgregor's pit viper, Batanes pit viper","Trimeresurus mcgregori, commonly known as the McGregor's pit viper or the Batanes pit viper, is a venomous pitviper subspecies endemic to the Philippines.
Animal name origin
The specific name, mcgregori, is in honor of Richard Crittenden McGregor (1871-1936), who collected the type specimen, and survived its bite.",Animalia,Chordata,,Reptilia,Squamata,Viperidae,Trimeresurus,,,,,,,,,,,,,,,,,,,,Stable,Least concern (LC)
Tropidophorus grayi,"Spiny waterside skink, Gray's keeled skink","Tropidophorus grayi, commonly called the spiny waterside skink or Gray's keeled skink, is a relatively common but secretive skink species, a lizard in the family Scincidae. The species is endemic to the Philippines.
Animal name origin
The specific name, grayi, is in honor of British herpetologist John Edward Gray.",Animalia,Chordata,,Reptilia,Squamata,Scincidae,Tropidophorus,,,,,,,,,,,,,,,,,,,,Stable,Least concern (LC)
Trimeresurus schultzei,Schultze's pitviper,"Trimeresurus schultzei, commonly known as the Schultze's pitviper, is a venomous pitviper species endemic to the Philippines. No subspecies are currently recognized.
Animal name origin
The specific name, schultzei, is in honor of ""Mr. W. Schultze"" who collected the type specimen.",Animalia,Chordata,,Reptilia,Squamata,Viperidae,Trimeresurus,,,,,,,,,,,,,,,,,,,,Unknown,Vulnerable (VU)
Calamaria gervaisii,Gervais' worm snake,"Calamaria gervaisii, commonly known as Gervais' worm snake, is a species of relatively small-sized burrowing or fossorial snake in the family Colubridae.
Animal name origin
The specific name, gervaisii, is in honor of French zoologist Paul Gervais.",Animalia,Chordata,,Reptilia,Squamata,Calamariidae,Calamaria,,,,,,,,,,,,,,,,,,,,Decreasing,Least concern (LC)
Dryophiops philippina,"Keel-bellied whipsnake, Philippine whipsnake","Dryophiops philippina, also known as the keel-bellied whipsnake or Philippine whipsnake, a species of rear-fanged colubrid snake that is endemic to the Philippines. One similar species, Dryophiops rubescens exists in Thailand and Malaysia.",Animalia,Chordata,,Reptilia,Squamata,Colubridae,Dryophiops,,,,,,,,,,,,,,,,,,,,Decreasing,Data deficient (DD)
Tropidolaemus philippensis,,"Tropidolaemus philippensis is a species of venomous snake in the subfamily Crotalinae, the pit vipers. It is endemic to western Mindanao and some portions of western Leyte, the Philippines. Its common name is South Philippine temple pit viper.
Tropidolaemus philippensis is viviparous. Males have a greenish-turquoise body background coloration, whereas females are seemingly more green. There is a black or rarely white postocular stripe. Body has dorsal blotches that are black with unfilled dorsal scales, giving raise so degree of net-like pattern. Tail is moderate.
SHOW LESS",Animalia,Chordata,,Reptilia,Squamata,Viperidae,Tropidolaemus,,,,,,,,,,,,,,,,,,,,Unknown,Least concern (LC)
Boiga angulata,"Leyte cat snake, Philippine blunt-headed tree snake","Boiga angulata, commonly known as the Leyte cat snake or Philippine blunt-headed tree snake, is a species rear-fanged of snake in the family Colubridae. The species is endemic to the Philippines. It is considered mildly venomous.",Animalia,Chordata,,Reptilia,Squamata,Colubridae,Boiga,,,,,,,,,,,,,,,,,,,,,Least concern (LC)
Gekko gigante,"Gigante narrow-disked gecko, Gigante gecko","Gekko gigante, also known as the Gigante narrow-disked gecko or the Gigante gecko, is a species of gecko found in the Gigantes Islands in Carles, Iloilo Philippines.",Animalia,Chordata,,Reptilia,Squamata,Gekkonidae,Gekko,,,,,,,,,,,,,,,,,,,,Decreasing,Data deficient (DD)
Gonocephalus sophiae,Negros forest dragon,"Gonocephalus sophiae, the Negros forest dragon is a species of lizards endemic to the Philippines. It is found between 0 and 1200 m above sea level on the islands of Negros, Mindanao and Panay, and possibly on Siargao, Luzon, Samar, Palawan and the Calamian Islands. The species is oviparous, and lays eggs in small holes dug in the banks of forest rivers. It is often confused with G. interruptus and G. semperi and therefore remains poorly characterized. Adults reach a total length of ca. 30 cm and feed mostly on insects.",Animalia,Chordata,,Reptilia,Squamata,Agamidae,Gonocephalus,,,,,,,,,,,,,,,,,,,,Stable,Least concern (LC)
Pseudogekko smaragdinus,"Green smooth-scaled gecko, Polillo false gecko, Emerald false gekko","Pseudogekko smaragdinus, green smooth-scaled gecko, Polillo false gecko or emerald false gekko, is a species of geckos. It is endemic to the Philippines, where it is common in the forests of Polillo Island and is very rare in other places.",Animalia,Chordata,,Reptilia,Squamata,Gekkonidae,Pseudogekko,,,,,,,,,,,,,,,,,,,,Decreasing,Vulnerable (VU)
Oligodon ancorus,Northern short-headed snake,"Oligodon ancorus, commonly known as the northern short-headed snake, is a species of colubrid snake found on the islands of Luzon and Mindoro in the Philippines, and the island of Sumatra in Indonesia. However, whether the populations from Sumatra, described as Oligodon rhombifer, belong to this species has been contested.",Animalia,Chordata,,Reptilia,Squamata,Colubridae,Oligodon,,,,,,,,,,,,,,,,,,,,Stable,Least concern (LC)
Gekko athymus,"Brown's gecko, Smooth-scaled narrow-disked gecko","Gekko athymus, also known as the Brown's gecko or smooth-scaled narrow-disked gecko, is a species of gecko. The species is endemic to the island of Palawan in the Philippines. It is a rare, crepuscular animal that has only been found in intact primary forest.",Animalia,Chordata,,Reptilia,Reptilia,Gekkonidae,Gekko,,,,,,,,,,,,,,,,,,,,Decreasing,Data deficient (DD)
Trimeresurus flavomaculatus halieus,,Trimeresurus flavomaculatus halieus is a venomous pitviper subspecies endemic to the Philippines.,Philippine Pit Viper,Animalia,,Vertebrata,Squamata,Serpentes,Viperidae,,,,,,,,,,,,,,,,,,,,Decreasing,
Brachymeles bicolor,Two-colored short-legged skink,"Brachymeles bicolor, common name two-colored short-legged skink, is a species of skink endemic to Luzon, the Philippines. It is widely distributed through the island, at elevations of 250 to 850 m above sea level. However, its population is declining due to deforestation, and hence the species is classified as Near Threatened by the IUCN.",Animalia,Chordata,,Reptilia,Squamata,Scincidae,Brachymeles,,,,,,,,,,,,,,,,,,,,Decreasing,Extinct (EX)
Boiga schultzei,Schultze's blunt-headed tree snake,"Boiga schultzei, commonly known as the Schultze's blunt-headed tree snake, is a species of snake in the family Colubridae. The species is endemic to the Philippines.
Animal name origin
The specific name, schultzei, is in honor of Willie Schultze in whose private collection E.H. Taylor found the specimen which would become the holotype.",Animalia,Chordata,,Reptilia,Squamata,Colubridae,Boiga,,,,,,,,,,,,,,,,,,,,Unknown,Vulnerable (VU)
Bronchocela marmorata,"Marbled crested lizard, Marbled bloodsucker, Marbled agamid lizard","Bronchocela marmorata, marbled crested lizard, marbled bloodsucker or marbled agamid lizard is a species of lizard. It is endemic to the Philippines, where it inhabits lowland dipterocarp and montane forests at elevations 400 to 800 m above mean sea level. It is typically found on branches and leaves of trees. It feeds on insects and is oviparous, digging the soil to lay its eggs at the base of trees.",Animalia,Chordata,,Reptilia,Squamata,Agamidae,Bronchocela,,,,,,,,,,,,,,,,,,,,Decreasing,Least concern (LC)
Pseudorabdion mcnamarae,,"Pseudorabdion mcnamarae is a species of snake in the family Colubridae. The species is endemic to the Philippines.
Animal name origin
The specific name, mcnamarae, is in honor of Homer McNamara who was superintendent of La Carlota Agricultural Station, Philippines, and assisted Taylor in the field.",Animalia,Chordata,,Reptilia,Squamata,Calamariidae,Pseudorabdion,,,,,,,,,,,,,,,,,,,,Unknown,Vulnerable (VU)
Cyrtodactylus philippinicus,"Philippine bent-toed gecko, Philippine bow-fingered gecko","Cyrtodactylus philippinicus, commonly known as the Philippine bent-toed gecko or Philippine bow-fingered gecko, is a species of gecko in family Gekkonidae.",Animalia,Chordata,,Reptilia,Squamata,Gekkonidae,Cyrtodactylus,,,,,,,,,,,,,,,,,,,,Decreasing,Least concern (LC)
Otosaurus cumingi,"Otosaurus, Cuming's sphenomorphus, Luzon giant forest skink","Otosaurus cumingii, commonly called Cuming's sphenomorphus or the Luzon giant forest skink, is a species of skink, a lizard in the family Scincidae. The species is endemic to the Philippines.
Animal name origin
The specific name, cumingii, is in honor of English naturalist Hugh Cuming.",Animalia,Chordata,,Reptilia,Squamata,Scincidae,Sphenomorphus,,,,,,,,,,,,,,,,,,,,Stable,Vulnerable (VU)
Dasia griffini,"Griffin's keel-scaled tree skink, Griffin's dasia","Dasia griffini, commonly known as Griffin's keel-scaled tree skink or Griffin's dasia, is a species of tree skink, a lizard in the family Scincidae. The species is endemic to central and northern Palawan and southern Mindoro in the Philippines.
Animal name origin
The specific name, griffini, is in honor of American herpetologist Lawrence Edmonds Griffin (1874-1949).",Animalia,Chordata,,Reptilia,Squamata,Scincidae,Dasia,,,,,,,,,,,,,,,,,,,,Decreasing,Least concern (LC)
Lipinia pulchella,"Yellow-striped slender tree skink, Beautiful lipinia","Lipinia pulchella, known commonly as the yellow-striped slender tree skink or beautiful lipinia, is a species of skink, a lizard in the family Scincidae. The species is endemic to the Philippines.
Animal name origin
The specific name, levitoni, is in honor of American herpetologist Alan Edward Leviton (born 1930).
The specific name, taylori, is in honor of American herpetologist Edward Harrison Taylor (1889–1978).
SHOW LESS",Animalia,Chordata,,Reptilia,Squamata,Scincidae,Lipinia,,,,,,,,,,,,,,,,,,,,Decreasing,Vulnerable (VU)
Brachymeles elerae,Common short-legged skink,"The common short-legged skink (Brachymeles elerae ) is a species of skink endemic to the Philippines. It is found throughout most of the country, albeit very rarely, and hence the species is poorly characterized.",Animalia,Chordata,,Reptilia,Squamata,Scincidae,Brachymeles,,,,,,,,,,,,,,,,,,,,Stable,Data deficient (DD)
Lycodon bibonius,Ota's wolf snake,"Lycodon bibonius, also known as Ota's wolf snake, is a species of colubrid snake found on the islands of Camiguin Norte and Babuyan Claro in the Philippines.
Animal name origin
The species name ""bibonius"" is derived from the Latin word ""bibo,"" meaning ""to drink."" The name was chosen by Hidetoshi Ota and Charles Ross, the biologists who described the snake, in honor of their colleague R. I. Crombie, ""who, often while sharing beverages, has shared his expertise and friendship without reservation.""",Animalia,Chordata,,Reptilia,Squamata,Colubridae,Lycodon,,,,,,,,,,,,,,,,,,,,Stable,Endangered (EN)
